"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","پنجشنبه",1245.80064947633
"2","member","پنجشنبه",711.95891932503
"3","casual","جمعه",1321.33788574715
"4","member","جمعه",722.081582079289
"5","casual","چهارشنبه",1188.07564062083
"6","member","چهارشنبه",699.785498783907
"7","casual","دوشنبه",1433.3400633866
"8","member","دوشنبه",707.181987567955
"9","casual","سه شنبه",1254.20417625408
"10","member","سه شنبه",699.435116672209
"11","casual","شنبه",1570.52755991613
"12","member","شنبه",829.955964015349
"13","casual","يكشنبه",1597.31248509736
"14","member","يكشنبه",820.343901993767
